Soil_Moisture,Ambient_Light,Ambient_Temp,Barometric_Pressure,Precip_Prob,Digital_Output,Node_ID,Battery_Level,Hose_1,Hose_2,Hose_3
     0.000000,       17.364388,                     0,                  1015,             0,                2,         5,                0,       0,       0,       0,
Soil_Moisture,Ambient_Light,Ambient_Temp,Barometric_Pressure,Precip_Prob,Digital_Output,Node_ID,Battery_Level,Hose_1,Hose_2,Hose_3
     0.000000,       20.565815,                     0,                     0,             0,                2,         5,               39,       0,       0,       0,
     0.000000,       20.279221,                     0,                     0,             0,                2,         5,               39,       0,       0,       0,
     0.000000,       19.577515,                     0,                     0,             0,                2,         5,               39,       0,       0,       0,
     0.000000,       20.277943,                     0,                     0,             0,                2,         5,               39,       1,       0,       0,
     0.000000,       20.565815,                     0,                     0,             0,                2,         5,               39,       1,       0,       0,
     0.000000,       20.565815,                     0,                     0,             0,                2,         5,               39,       1,       0,       0,
Soil_Moisture,Ambient_Light,Ambient_Temp,Barometric_Pressure,Precip_Prob,Digital_Output,Node_ID,Battery_Level,Hose_1,Hose_2,Hose_3
     2.005771,       20.678165,                     0,                     0,             0,                2,         5,               40,       0,       0,       0,
     0.000000,       20.493526,                     0,                     0,             0,                2,         5,               39,       0,       0,       0,
     0.000000,       20.135923,                     0,                     0,             0,                2,         5,               39,       0,       0,       0,
     0.000000,       20.206934,                     0,                     0,             0,                2,         5,               39,       1,       0,       0,
     0.000000,       19.924116,                     0,                  1014,             0,                2,         5,               39,       1,       0,       0,
     0.000000,       16.238386,                     0,                  1014,             0,                2,         5,               39,       1,       0,       0,
Soil_Moisture,Ambient_Light,Ambient_Temp,Barometric_Pressure,Precip_Prob,Digital_Output,Node_ID,Battery_Level,Hose_1,Hose_2,Hose_3
     5.460451,       21.559017,                     0,                  1014,             0,                2,         5,               40,       0,       0,       0,
Soil_Moisture,Ambient_Light,Ambient_Temp,Barometric_Pressure,Precip_Prob,Digital_Output,Node_ID,Battery_Level,Hose_1,Hose_2,Hose_3
     0.000000,       21.302500,                     0,                  1014,             0,                2,         5,               39,       0,       0,       0,
Soil_Moisture,Ambient_Light,Ambient_Temp,Barometric_Pressure,Precip_Prob,Digital_Output,Node_ID,Battery_Level,Hose_1,Hose_2,Hose_3
     4.011542,       20.929377,                     0,                  1014,             0,                2,         5,               40,       0,       0,       0,
Soil_Moisture,Ambient_Light,Ambient_Temp,Barometric_Pressure,Precip_Prob,Digital_Output,Node_ID,Battery_Level,Hose_1,Hose_2,Hose_3
     4.011542,       21.298601,                     0,                  1014,             0,                2,         5,               40,       0,       0,       0,
Soil_Moisture,Ambient_Light,Ambient_Temp,Barometric_Pressure,Precip_Prob,Digital_Output,Node_ID,Battery_Level,Hose_1,Hose_2,Hose_3
     3.353663,       22.740656,                     0,                  1014,             0,                2,         5,               41,       0,       0,       0,
Soil_Moisture,Ambient_Light,Ambient_Temp,Barometric_Pressure,Precip_Prob,Digital_Output,Node_ID,Battery_Level,Hose_1,Hose_2,Hose_3
     3.353663,       23.962439,                     0,                  1014,             0,                2,         5,               40,       0,       0,       0,
Soil_Moisture,Ambient_Light,Ambient_Temp,Barometric_Pressure,Precip_Prob,Digital_Output,Node_ID,Battery_Level,Hose_1,Hose_2,Hose_3
     4.735996,       21.486727,                     0,                  1014,             0,                2,         5,               40,       0,       0,       0,
     0.000000,       21.987711,                     0,                  1014,             0,                2,         5,               39,       1,       0,       0,
     0.000000,       22.377750,                     0,                  1014,             0,                2,         5,               39,       1,       0,       0,
Soil_Moisture,Ambient_Light,Ambient_Temp,Barometric_Pressure,Precip_Prob,Digital_Output,Node_ID,Battery_Level,Hose_1,Hose_2,Hose_3
     0.000000,       14.046839,                     0,                  1014,             0,                2,         5,               39,       0,       0,       0,
